"","meanImp","medianImp","minImp","maxImp","normHits","decision","feature"
"num_prior_orders_unpaid",87.0061188003753,84.229080846096,78.3674194139063,97.6453761588041,1,"Confirmed","num_prior_orders_unpaid"
"engagement_score",38.5555271477676,38.2206927610108,34.6960794173975,43.4762442777336,1,"Confirmed","engagement_score"
"custom_meal_selection_new",27.0449656055859,26.3972057333834,23.7323380282974,30.9963365121537,1,"Confirmed","custom_meal_selection_new"
"engagement_cat_new",25.8242115675148,26.0041197308392,23.5755391167951,28.6484902433006,1,"Confirmed","engagement_cat_new"
"num_prior_orders_failed",22.7296293715121,22.8952785151471,20.3220349120189,25.3114744511503,1,"Confirmed","num_prior_orders_failed"
"is_f_new",12.9174900087691,12.8070317840669,10.6169271200753,17.5307487797042,1,"Confirmed","is_f_new"
"channel_new",12.6125474963093,12.2526721208616,9.81363919343731,16.3903753389098,1,"Confirmed","channel_new"
"payment_method_new",6.24399226742811,6.2525234786489,4.00992340342105,9.1029814314039,1,"Confirmed","payment_method_new"
"state_new",2.96371114043518,2.73154083306416,-0.299277559495395,6.58422921615683,0.736842105263158,"Tentative","state_new"
"delivery_week_new",0.347373854558232,0.881599278766412,-2.09475885387043,1.48601371708347,0,"Rejected","delivery_week_new"
"ever_rated_recipe_new",-4.14157745280192,-4.30135808544716,-5.55542561797254,-2.63564843458689,0,"Rejected","ever_rated_recipe_new"
